Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Зінчук,Одарка,Євгенівна,Жінка,1956-02-20,Інженер,село Радехів,"узвіз Ушинського, буд. 391, Подільськ, 34410",060 841 74 22,illia89@example.net
Лесик,Віра,Максимівна,Жінка,2001-12-15,Електротехнік,хутір Чортків,"проспект Чорноморський 8-й, буд. 6, Авдіївка, 14092",022 960-27-00,anastasiia00@example.com
Андрейко,Орися,Андріївна,Жінка,1939-08-07,Археолог,хутір Соледар,"парк Вишневий, буд. 14 кв. 479, Алушта, 46865",017 903 23 60,makarfurs@example.org
Лукаш,Розалія,Іванівна,Жінка,1946-05-25,Науковець,місто Заводське,"вулиця Кримський, буд. 97, Генічеськ, 18777",082 609-34-74,iaroslavabatih@example.net
Засядько,Марта,Тимофіївна,Жінка,1985-06-24,Інженер,хутір Кривий Ріг,"сквер Роздольна, буд. 74, Почаїв, 26214",+380 43 668-33-49,emiliia89@example.net
Ґалаґан,Юстина,Богданівна,Жінка,1959-07-25,Лікар,село Погребище,"сквер Академічна, буд. 5, Світлодарськ, 82071",023 790-45-98,arkadiinosachenko@example.net
Баран,Едита,Павлівна,Жінка,1939-04-13,Юрист,місто Кролевець,"провулок Старобазарний, буд. 38 кв. 8, Армянськ, 76949",+380 01 612-39-60,feofanandreiko@example.org
Демʼянчук,Орина,Петрівна,Жінка,1998-06-21,Підприємець,село Суми,"провулок Бутишів, буд. 13, Білогірськ, 16028",016 898-82-98,fshvachka@example.org
Чумаченко,Ірена,Петрівна,Жінка,1958-10-28,Піаніст,селище Красногорівка,"узвіз Лінія 23-тя, буд. 950, Вилкове, 95629",+380 83 385-48-62,stefanzasiadko@example.net
Оробець,Ярослава,Арсеніївна,Жінка,1971-05-11,Фотограф,місто Городок,"площа Деволанівський узвіз, буд. 5, Долина, 55508",835 90 60,mykhailyna47@example.org
Єрошенко,Данна,Сергіївна,Жінка,2001-06-03,Зоолог,село Снятин,"провулок Політкаторжан, буд. 35, Рогатин, 82336",025 611 11 68,ivantsybulenko@example.net
Деряжна,Анжела,Романівна,Жінка,1980-07-24,Електромонтажник,село Берестин,"площа Фахова, буд. 17 кв. 294, Корсунь-Шевченківський, 16450",+380 85 444 67 58,taras83@example.com
Іваненко,Анжела,Богданівна,Жінка,1960-04-11,Співак,місто Трускавець,"парк Манежний, буд. 6 кв. 48, Ківерці, 59800",013 537-68-42,telizhenkonestor@example.com
Габелко,Аніта,Андріївна,Жінка,2001-05-23,Хореограф,село Корюківка,"провулок Десятого квітня, буд. 3 кв. 4, Вільнянськ, 48165",+380 93 980-20-58,rudkoadam@example.net
Єрмоленко,Мілена,Сергіївна,Жінка,1968-02-23,Археолог,хутір Овруч,"сквер Керченський 3-й, буд. 58 кв. 014, Керч, 31235",027 511-96-24,svasylechko@example.org
Чекалюк,Сніжана,Олексіївна,Жінка,1953-10-31,Інженер,селище Лиман,"площа Матроський узвіз, буд. 840, Мостиська, 05590",035 401 71 82,mbazylevskyi@example.net
Акуленко,Оксана,Іванівна,Жінка,1972-03-27,Євнух,місто Глиняни,"площа Семена Яхненка, буд. 94, Гребінка, 75127",019 690 01 04,myroslavdemydenko@example.org
Дараган,Златослава,Дмитрівна,Жінка,1989-10-12,Драматург,хутір Нова Одеса,"площа Богуна, буд. 6, Долинська, 32624",697 05 62,sieresko@example.net
Ващенко,Вікторія,Олексіївна,Жінка,1990-03-27,Драматург,село Вишгород,"провулок Бардаха, буд. 76 кв. 8, Костянтинівка, 05507",+380 47 898-79-12,priskavovk@example.org
Гаврилишин,Тетяна,Богданівна,Жінка,1982-11-18,Фотограф,село Волочиськ,"проспект Сергія Уточкіна, буд. 047 кв. 4, Чорноморськ, 50867",+380 19 032 45 17,lukianudovenko@example.org
Данчук,Людмила,Арсеніївна,Жінка,1983-11-02,Адвокат,село Сміла,"узвіз Весела, буд. 3 кв. 5, Рівне, 96281",059-43-97,kalchenkoiryna@example.org
Бгиденко,Оксенія,Василівна,Жінка,1965-10-31,Електротехнік,хутір Бахмач,"узвіз Віри Холодної, буд. 6 кв. 7, Вільнянськ, 07405",092 214 44 84,gcherednyk@example.net
Давиденко,Еріка,Петрівна,Жінка,1965-12-17,Археолог,хутір Вільнянськ,"вулиця 2-й Академічний тупик, буд. 032, Апостолове, 05203",073 829 52 66,erikavasylashko@example.net
Баранник,Варвара,Тимофіївна,Жінка,1972-01-26,Стропальник,місто Київ,"вулиця Колонічна, буд. 615, Арциз, 99288",341-92-17,udzhun@example.org
Аврамчук,Юстина,Максимівна,Жінка,1975-02-20,Дерун,селище Дебальцеве,"проспект Машинобудівний, буд. 3 кв. 00, Балаклія, 91022",045 311-62-49,adamtryhub@example.com
Пушкар,Єва,Дмитрівна,Жінка,1974-11-22,Бібліограф,селище Бердичів,"узвіз Різовська, буд. 065, Вилкове, 80594",694 13 08,akulenkosviatoslava@example.org
Лаба,Едита,Сергіївна,Жінка,1999-11-22,Продюсер,хутір Чугуїв,"вулиця Віктора Скаржинського узвіз, буд. 2, Коростень, 31327",945 93 34,karasoksana@example.com
Жученко,Марʼяна,Павлівна,Жінка,1975-05-16,Живописець,хутір Бережани,"шосе Зелена гірка, буд. 12, Устилуг, 94633",085 030-06-81,shukhevychvarfolomii@example.org
Стус,Амалія,Тимофіївна,Жінка,1990-08-30,Астрофізик,місто Гола Пристань,"шосе Пішонівська, буд. 332, Андрушівка, 47407",+380 16 720 69 45,albertarkhypenko@example.org
Чміль,Едита,Максимівна,Жінка,1975-11-01,Патологоанатом,селище Перемишляни,"узвіз Літня, буд. 9, Саки, 50647",+380 06 445-45-76,nazarshovkoplias@example.org
Венгринович,Марта,Григорівна,Жінка,2004-03-08,Режисер,село Почаїв,"площа Володимира Антоновича, буд. 505 кв. 63, Алмазна, 61535",+380 (17) 080-30-21,liliia89@example.net
Вітер,Орина,Петрівна,Жінка,1987-08-14,Стоматолог,хутір Вишгород,"шосе Лінія 37-ма, буд. 3 кв. 9, Золотоноша, 64780",095 888 50 27,riabovilsvitlana@example.net
Ажажа,Марта,Олексіївна,Жінка,1955-01-05,Кінорежисер,село Трускавець,"парк Біляївська, буд. 83, Полонне, 68825",031 312 92 94,zkhmara@example.com
Свистун,Альбіна,Миколаївна,Жінка,2003-10-06,Флорист,селище Чорноморськ,"площа Разумовська, буд. 2 кв. 512, Дунаївці, 30587",+380 72 657 76 97,pylyp63@example.net
Корбут,Сніжана,Арсеніївна,Жінка,1962-08-21,Етнограф,село Соснівка,"сквер Ніжинська, буд. 553, Керч, 95507",087 922-83-96,syrotenkostefan@example.net
Сагаль,Алла,Григорівна,Жінка,1993-08-17,Кіноактор,село Чернівці,"узвіз Лінія 32-га, буд. 2 кв. 340, Балта, 42923",318 51 08,datsiukteodor@example.com
Сомко,Марія,Миколаївна,Жінка,1959-03-12,Клоун,хутір Кобеляки,"узвіз Ігоря Іванова, буд. 021 кв. 17, Бровари, 48473",+380 74 085 00 51,ofranchuk@example.com
Василенко,Олена,Максимівна,Жінка,1939-12-24,Стоматолог,село Вишневе,"вулиця Георгія Гамова, буд. 5 кв. 6, Костянтинівка, 11483",+380 29 572-19-72,boleslavhaida@example.org
Безбородько,Лілія,Іванівна,Жінка,1940-02-24,Редактор,селище Генічеськ,"сквер Крушельницької, буд. 772 кв. 513, Нова Каховка, 43546",368-61-20,cbevzenko@example.org
Дробʼязко,Едита,Олексіївна,Жінка,1964-09-11,Маркетолог,село Любомль,"парк Локальна, буд. 667, Камінь-Каширський, 44797",+380 85 531-51-39,opanasriaboshapka@example.com
Лесик,Надія,Максимівна,Жінка,1959-11-16,Хореограф,місто Ровеньки,"узвіз Кленова, буд. 440, Багачеве, 97818",006 004 34 93,sviatoslavkovalenko@example.com
Чарниш,Орина,Григорівна,Жінка,1999-04-27,Палеонтолог,селище Українка,"шосе 3-тя Лінія Марії Демченко, буд. 5 кв. 87, Коломия, 41758",034 525 77 08,oles31@example.com
Ґереґа,Ліза,Богданівна,Жінка,1974-11-26,Фольклорист,хутір Перевальськ,"провулок Лінія 41-ша, буд. 70, Сокологірськ, 09193",+380 93 084-39-70,khrystynapavlyk@example.org
Верменич,Орися,Максимівна,Жінка,1997-12-23,Геолог,село Ржищів,"вулиця Бузковий, буд. 747, Ровеньки, 37287",017 128-82-54,tchumachenko@example.net
Тичина,Ірина,Тимофіївна,Жінка,1986-06-05,Ґрунтознавець,хутір Корюківка,"шосе Зелена балка, буд. 2 кв. 27, Яворів, 86789",010 068 81 35,serhiihuz@example.net
Короленко,Надія,Тимофіївна,Жінка,1971-03-06,Льотчик,місто Решетилівка,"набережна Ланжерон, буд. 2 кв. 36, Новий Розділ, 43039",063 526-61-88,atroshchenkoroman@example.org
Онищенко,Ліза,Степанівна,Жінка,1962-02-14,Мінералог,хутір Тиврів,"вулиця Кругова, буд. 768 кв. 5, Гірське, 77909",+380 53 785-56-23,ustymshablii@example.net
Корж,Богуслава,Романівна,Жінка,1941-10-09,Дизайнер,місто Чугуїв,"шосе Спортивний, буд. 04, Тростянець, 66662",330 58 50,terezaiemets@example.net
Їжакевич,Орина,Дмитрівна,Жінка,1956-07-06,Круп'є,хутір Родинське,"проспект Пересипська 9-та, буд. 9, Новий Буг, 84383",+380 49 025-97-53,serhii48@example.com
Євтушок,Віолетта,Іванівна,Жінка,1998-03-07,Кінокритик,місто Куп'янськ,"узвіз Український 1-й, буд. 0 кв. 3, Ялта, 11973",+380 35 144 84 99,cherednykanzhela@example.org
Сіробаба,Аніта,Володимирівна,Жінка,1942-04-03,Режисер,селище Старобільськ,"площа Якірний, буд. 640, Буринь, 98068",+380 (58) 305-15-91,vladyslav43@example.org
Цимбалюк,Дарина,Дмитрівна,Жінка,1951-12-15,Фізик,місто Гола Пристань,"набережна Лиманчик 2-й Лінія 9-та, буд. 431, Армянськ, 49614",+380 92 194-45-24,sahalopanas@example.net
Таран,Богуслава,Павлівна,Жінка,2008-12-06,Фармацевт,місто Курахове,"вулиця 11-ша Лінія 6-й ст. Люстдорфської дороги, буд. 0, Краматорськ, 13765",750 60 54,skovalenko@example.com
Вернидуб,Марʼяна,Євгенівна,Жінка,2003-06-11,Петрограф,селище Бершадь,"парк Луценка Івана, буд. 67 кв. 19, Ізюм, 26520",245 43 55,ivashchenkodemian@example.org
Базилевич,Сніжана,Степанівна,Жінка,1996-05-03,Краєзнавець,село Чортків,"провулок Кутова, буд. 988 кв. 60, Курахове, 69541",698-08-18,orestlahoda@example.com
Цюцюра,Емілія,Юріївна,Жінка,1980-06-08,Клавішник,селище Борщів,"провулок Канатний, буд. 14, Скадовськ, 87388",+380 25 267 55 03,hkorbut@example.org
Шамрай,Василина,Олександрівна,Жінка,1959-11-13,Євнух,місто Бориспіль,"сквер Кавунова, буд. 60 кв. 092, Дубровиця, 21483",+380 83 315 66 25,lesykmarusia@example.net
Сагаль,Орина,Євгенівна,Жінка,1962-12-24,Скульптор,селище Нова Одеса,"проспект Лиманчик 2-й Лінія 2-га, буд. 3 кв. 413, Іршава, 36180",+380 44 771 30 33,stusiefrem@example.org
Удовенко,Ірина,Романівна,Жінка,1938-12-17,Гицель,село Петрово-Красносілля,"провулок Артезіанська, буд. 6, Борщів, 89623",098 080 35 42,khrystychlarysa@example.com
Адамчук,Михайлина,Павлівна,Жінка,2008-06-20,Громадський діяч,селище Іршава,"провулок Балтський 3-й, буд. 980 кв. 41, Ровеньки, 47234",076 318 82 02,vdemianchuk@example.net
Дашенко,Аніта,Дмитрівна,Жінка,1967-04-19,Будник,селище Красногорівка,"узвіз Матеріальний 1-й, буд. 01 кв. 41, Решетилівка, 19520",+380 05 301-52-32,iiurchenko@example.net
Лемешко,Світлана,Іванівна,Жінка,1983-02-01,Фрілансер,місто Рені,"провулок Травневий 2-й, буд. 36 кв. 03, Новогродівка, 51186",+380 01 008-55-18,myroslav43@example.org
Хорішко,Галина,Володимирівна,Жінка,1940-02-17,Маркетолог,село Чистякове,"проспект Саймона Літмана, буд. 3 кв. 2, Конотоп, 54812",+380 53 401-16-82,babychenkonadiia@example.net
Доценко,Валентина,Сергіївна,Жінка,1965-09-02,Кушнір,місто Лубни,"узвіз Італійський, буд. 371, Підгородне, 05388",+380 (07) 650-02-51,viratelychenko@example.org
Рябець,Ольга,Григорівна,Жінка,1986-03-22,Петрограф,село Кагарлик,"проспект Мазепи Івана, буд. 36 кв. 240, Перемишляни, 57071",087 983 83 94,fmakohon@example.org
Редько,Пріска,Юріївна,Жінка,1985-12-20,Машиніст,селище Миколаївка,"сквер Лютеранський, буд. 6 кв. 43, Костянтинівка, 61219",+380 (79) 014-90-75,bzakusylo@example.com
Джус,Надія,Максимівна,Жінка,1956-03-03,Клавішник,хутір Бурштин,"набережна Ігоря Бедзая, буд. 813, Батурин, 03831",+380 (89) 239-56-49,demianenkoomelian@example.com
Ємельяненко,Володимира,Сергіївна,Жінка,1985-11-09,Диригент,селище Камінь-Каширський,"площа Дачний 1-й, буд. 83 кв. 726, Довжанськ, 40970",396-12-63,hresleopold@example.org
Гриценко,Надія,Андріївна,Жінка,1993-04-30,Доцент,село Новоазовськ,"узвіз Тіниста, буд. 7 кв. 0, Бориспіль, 27592",010 188-12-60,iaryna68@example.com
Гузенко,Ірена,Павлівна,Жінка,1977-04-25,Гірник,хутір Яремче,"сквер Квіткова, буд. 8 кв. 016, Турка, 87662",218-76-15,chalenkozynovii@example.org
Сацюк,Юстина,Богданівна,Жінка,1976-03-10,Медик,селище Заліщики,"провулок Зелена гірка, буд. 559 кв. 32, Калуш, 56979",518 92 04,vladyslavzinkevych@example.net
Саєнко,Клавдія,Іванівна,Жінка,1963-07-15,Архітектор,село Ходорів,"вулиця Банний, буд. 61, Остер, 78038",+380 (95) 601-83-05,adaderehus@example.net
Франчук,Маруся,Максимівна,Жінка,1976-08-26,Золотар,місто Світловодськ,"вулиця Прохоровський, буд. 775 кв. 74, Монастириська, 61745",+380 88 175 19 57,oksana29@example.com
Захарченко,Аніта,Павлівна,Жінка,1955-12-18,Кінокритик,селище Сорокине,"площа Гіацинтовий, буд. 525 кв. 2, Снятин, 97831",+380 74 731-22-99,udemydenko@example.net
Верхола,Марта,Олексіївна,Жінка,2004-12-01,Мінералог,село Борислав,"провулок Кільцева, буд. 52 кв. 44, Старобільськ, 15980",+380 94 450 49 82,turkalobohodar@example.com
Ільєнко,Едита,Петрівна,Жінка,1986-10-10,Візажист,селище Чугуїв,"парк Сортувальна 2-га, буд. 656, Соснівка, 02722",+380 (71) 339-05-08,mykhailyna39@example.org
Удовиченко,Марта,Володимирівна,Жінка,1993-08-12,Драматург,місто Чоп,"вулиця Сірожупанників, буд. 40, Полтава, 08302",203-21-30,lutsenkofeofan@example.com
Юрченко,Валентина,Євгенівна,Жінка,2006-01-15,Економіст,хутір Корець,"набережна Прохоровський, буд. 37, Помічна, 18412",+380 77 519-91-07,rozaliiaredko@example.org
Кармалюк,Лілія,Павлівна,Жінка,1992-03-30,Програміст,селище Долина,"проспект Вернидуба, буд. 7, Глиняни, 83003",+380 11 106-32-63,dan46@example.net
Чумак,Аніта,Максимівна,Жінка,1981-06-19,Фольклорист,село Зміїв,"проспект Аркадійська, буд. 06 кв. 77, Долина, 97970",074 081-04-47,zperebyinis@example.org
Ґжицька,Володимира,Олексіївна,Жінка,1950-03-09,Епідеміолог,село Южне,"площа Картамишевський, буд. 2, Таврійськ, 34797",+380 35 190-55-74,hryhorii45@example.org
Данчук,Клавдія,Максимівна,Жінка,1987-08-22,Менеджер,село Ічня,"площа Амбулаторний, буд. 8 кв. 43, Пологи, 82372",+380 42 801-41-72,vasylvalenko@example.com
Аврамчук,Едита,Дмитрівна,Жінка,1944-10-17,Круп'є,село Олександрія,"шосе Стороженка Олега, буд. 7, Сніжне, 11059",+380 69 720-63-12,viktor26@example.net
Цимбал,Ярина,Богданівна,Жінка,2000-12-29,Продюсер,село Моршин,"сквер Уманська, буд. 6 кв. 83, Новгород-Сіверський, 14278",047 050-65-25,albert04@example.net
Фоменко,Розалія,Євгенівна,Жінка,2004-09-22,Гінеколог,селище Здолбунів,"шосе Красива, буд. 2, Снятин, 73816",069 949 66 94,mchalenko@example.net
Лемешко,Михайлина,Дмитрівна,Жінка,1981-07-31,Антрополог,село Володимир-Волинський,"парк Різдвяна, буд. 89 кв. 0, Золоте, 43560",+380 44 733-91-18,ada76@example.net
Алексеєнко,Клавдія,Тимофіївна,Жінка,1988-05-04,Архітектор,село Лохвиця,"сквер Михайла Слабченка, буд. 87 кв. 7, Черкаси, 49468",+380 50 552-90-33,edytaliashko@example.org
Вишняк,Орися,Андріївна,Жінка,1990-01-04,Головний меркшейдер,місто Саки,"набережна Ключовий 2-й, буд. 0, Горлівка, 57376",052 289 63 64,mtalan@example.net
Гайворонська,Одарка,Олексіївна,Жінка,1947-04-13,Стоматолог,місто Торецьк,"площа Лузанівський 1-й, буд. 52 кв. 3, Вовчанськ, 38192",934-16-66,stepanatamanchuk@example.net
Дрозденко,Данна,Петрівна,Жінка,1949-01-23,Кінолог,хутір Самбір,"парк Морський, буд. 97, Дебальцеве, 84366",347-44-22,iustyna79@example.org
Лисенко,Орися,Романівна,Жінка,1941-06-04,Психолог,місто Сорокине,"площа Пантелеймонівська, буд. 73 кв. 35, Миронівка, 77579",+380 19 346 95 01,khrystyna18@example.com
Ільєнко,Софія,Сергіївна,Жінка,1996-11-29,Інженер,селище Новий Буг,"парк Левадна, буд. 1 кв. 93, Покровськ, 24755",016 266-63-93,ustymandroshchuk@example.com
Дубина,Дарина,Олександрівна,Жінка,1987-06-18,Біолог,місто Зимогір'я,"площа Пшенична, буд. 7 кв. 5, Чуднів, 20709",+380 72 292-74-10,iakivkharchenko@example.org
Петренко,Златослава,Олександрівна,Жінка,1950-08-18,Художник,село Новояворівськ,"площа Сухолиманна, буд. 13 кв. 94, Волноваха, 87364",114 36 75,vitalii45@example.org
Ільєнко,Альбіна,Тимофіївна,Жінка,1954-10-22,Хімік,селище Тальне,"шосе Флотський 4-й, буд. 0, Чистякове, 19611",+380 02 927 89 41,arsen41@example.org
Чумак,Камілла,Петрівна,Жінка,2003-12-15,Диригент,місто Харків,"проспект Лінія 37-ма, буд. 054, Новогродівка, 63390",+380 (15) 181-68-92,mykhailyna46@example.net
Влох,Клавдія,Олексіївна,Жінка,1983-10-02,Мовознавець,хутір Миколаїв,"площа Георгія Липського, буд. 585, Полонне, 92599",048 586 17 18,solomon44@example.org
Давимука,Маруся,Богданівна,Жінка,1968-06-26,Адвокат,місто Курахове,"проспект Художника Федорова, буд. 30 кв. 68, Миронівка, 76536",398-55-90,pfomenko@example.net
Євтушок,Богданна,Максимівна,Жінка,1976-10-18,Флорист,хутір Новояворівськ,"проспект Павлодарська, буд. 9 кв. 664, Привілля, 14304",+380 05 714-76-33,arkadii45@example.com
Опанасенко,Амалія,Арсеніївна,Жінка,2008-10-28,Модель,село Макіївка,"площа Суднобудівний, буд. 59, Глиняни, 56547",+380 (21) 454-05-24,kolesnychenkotereza@example.com
Оробець,Дарина,Олексіївна,Жінка,1944-12-09,Хімік,селище Іршава,"проспект Килимовий, буд. 580 кв. 49, Дубно, 97331",+380 98 660 24 61,sviatoslavabarabash@example.com
Філіпенко,Любов,Євгенівна,Жінка,1949-12-09,Композитор,хутір Перещепине,"вулиця Кінбурнський, буд. 668 кв. 188, Ясинувата, 28717",+380 78 324-96-55,milena51@example.net
Оніщук,Анжела,Євгенівна,Жінка,2004-03-10,Фармацевт,селище Березівка,"парк Басейний 2-й, буд. 395 кв. 17, Дніпрорудне, 17118",046 866-08-18,tarasbabak@example.net
Акименко,Марія,Сергіївна,Жінка,1967-09-04,Мовознавець,селище Дубровиця,"сквер Лінія 38-ма, буд. 538 кв. 148, Южноукраїнськ, 10542",+380 (91) 723-73-63,stefanbezditko@example.org
Короленко,Ірина,Миколаївна,Жінка,1957-11-13,Дипломат,місто Вижниця,"проспект Охтирський, буд. 489, Ізяслав, 78533",+380 69 665-65-40,feofan84@example.net
Алексеєнко,Лілія,Василівна,Жінка,1943-03-20,Штукатур,місто Перечин,"узвіз Інглезі, буд. 5 кв. 970, Шахтарське, 56183",009 365-65-05,opanasenkorostyslav@example.org
Байдак,Едита,Дмитрівна,Жінка,1979-06-21,Електрик,місто Алмазна,"сквер Йосипа Фішера, буд. 6, Броди, 54548",040 907-01-78,sviatoslav22@example.net
Щербань,Михайлина,Максимівна,Жінка,1940-06-27,Антрополог,село Олевськ,"шосе Зоряна, буд. 04, Теплодар, 43649",+380 37 694-83-38,varvara23@example.org
Швайка,Марія,Василівна,Жінка,1953-12-25,Науковець,хутір Дубровиця,"шосе Олександра Тимошенка, буд. 2, Лохвиця, 01335",242 48 52,tarasenkomyroslav@example.org
Артюх,Тетяна,Григорівна,Жінка,2005-01-05,Фотограф,хутір Олександрія,"шосе Володі Дубініна, буд. 903, Чугуїв, 27191",+380 13 946-30-20,nadiiadanylchuk@example.net
Баклан,Алла,Олексіївна,Жінка,1969-10-17,Педагог,селище Горохів,"шосе Баринштейна, буд. 019, Судак, 07811",846-11-04,boryslavmiroshnychenko@example.com
Гречаник,Володимира,Василівна,Жінка,2005-11-27,Візажист,хутір Надвірна,"шосе Контрадмірала Остроградського, буд. 7 кв. 197, Остер, 64877",035-36-30,vysochanieva@example.net
Даценко,Ліза,Миколаївна,Жінка,1981-01-17,Вчитель,село Заставна,"проспект Лазурний 4-й, буд. 79 кв. 38, Батурин, 93042",201 14 79,hryhoriiisaievych@example.org
Ярема,Пріска,Дмитрівна,Жінка,1957-05-19,Візажист,хутір Валки,"узвіз Кедровий, буд. 489, Голубівка, 89550",+380 19 342 58 24,vashchenkoonysym@example.com
Дубас,Ольга,Романівна,Жінка,1941-07-29,Бухгалтер,місто Синельникове,"провулок Томатна, буд. 2, Заліщики, 15874",+380 (17) 133-21-19,petroazhazha@example.net
Пелех,Сніжана,Олександрівна,Жінка,1952-05-31,Детектив,село Вилкове,"вулиця Інглезі, буд. 08, Лозова, 20396",+380 44 090-26-65,tivasiuk@example.com
Худобʼяк,Камілла,Євгенівна,Жінка,1968-03-25,Модель,місто Радомишль,"вулиця Буковинська, буд. 10 кв. 9, Дунаївці, 09219",+380 78 081-97-01,vzubko@example.org
Гриценко,Мілена,Олександрівна,Жінка,1975-02-18,Електромонтажник,селище Глухів,"вулиця Патріотична, буд. 80 кв. 663, Ізмаїл, 35012",+380 67 488-50-92,sachenkovasylyna@example.com
Щириця,Маруся,Олексіївна,Жінка,1963-12-20,Художник,селище Монастирище,"проспект Хутірський, буд. 9 кв. 968, Гуляйполе, 43723",610-28-70,dmytro02@example.org
Абрамчук,Марія,Максимівна,Жінка,1994-08-01,Льотчик,місто Яготин,"шосе Матроська Слободка , буд. 263 кв. 138, Жидачів, 26010",+380 60 858 77 05,huzenkoviacheslav@example.com
Верменич,Ада,Богданівна,Жінка,1941-03-05,Штукатур,село Генічеськ,"парк Надії Пучковської, буд. 334, Бердичів, 15389",132 65 19,viktoriia37@example.org
Гайденко,Галина,Романівна,Жінка,2002-01-01,Піаніст,селище Радехів,"сквер Лінія 37-ма, буд. 13 кв. 915, Жовква, 64039",830-05-44,sofiiasymonenko@example.com
Бабиченко,Лілія,Іванівна,Жінка,1977-10-25,Лікар,село Ровеньки,"сквер Степова, буд. 24 кв. 068, Дергачі, 63589",075 389 79 61,iaryna03@example.com
Ващенко,Розалія,Павлівна,Жінка,1954-02-16,Модельєр,село Яготин,"провулок Золотий берег, буд. 1, Перещепине, 68920",532 08 47,veniiamynhavryliv@example.org
Андріїшин,Ярослава,Олександрівна,Жінка,1985-05-13,Євнух,місто Боярка,"шосе Верстатобудівна, буд. 45 кв. 602, Одеса, 50793",+380 63 021-69-94,illia77@example.net
Бевз,Ярослава,Дмитрівна,Жінка,2003-01-24,Художник,село Красилів,"проспект Балтський 8-й, буд. 4, Самбір, 57063",003 57 02,dmytroshelest@example.org
Баштан,Володимира,Андріївна,Жінка,1947-11-05,Бібліотекар,місто Мар'їнка,"проспект Естафетна, буд. 04 кв. 7, Дніпро, 38872",+380 (14) 859-68-41,uvasylevych@example.net
Титаренко,Роксолана,Богданівна,Жінка,1983-05-20,Гірник,село Луганськ,"набережна Миколи Бурачека, буд. 3, Знам'янка, 81818",040 666-87-35,sirkoarsen@example.com
Сацюк,Дарина,Романівна,Жінка,1978-03-21,Нотаріус,хутір Василівка,"узвіз Шефська, буд. 0, Мар'їнка, 73167",+380 22 507-08-60,zhuchenkodavyd@example.net
Баранник,Галина,Петрівна,Жінка,1956-12-21,Філолог,місто Красилів,"сквер Штильова, буд. 002 кв. 326, Ізмаїл, 11216",+380 81 611-19-80,xliashko@example.org
Канівець,Амалія,Миколаївна,Жінка,1958-12-18,Бібліограф,село Алмазна,"проспект Капітана Гаврікова, буд. 79, Феодосія, 88545",+380 (99) 925-42-22,shvaikaalla@example.com
Акуленко,Ліза,Романівна,Жінка,1982-04-21,Прокурор,селище Зеленодольськ,"сквер Прорізний, буд. 425, Новодружеськ, 63211",883 13 01,bohuslav27@example.com
Левченко,Златослава,Олександрівна,Жінка,1986-10-26,Фольклорист,місто Шепетівка,"парк Спиридонівська, буд. 034, Кодима, 72876",+380 15 561 77 02,odarka40@example.com
Рак,Ярослава,Степанівна,Жінка,1996-12-21,Дипломат,селище Переяслав,"набережна Чубаївська, буд. 1, Герца, 38804",+380 54 677-39-91,vitalii34@example.org
Чарниш,Анастасія,Сергіївна,Жінка,1942-01-07,Краєзнавець,місто Арциз,"узвіз Миколи Савича, буд. 812 кв. 54, Зборів, 48991",+380 00 575-62-85,alekseienkopriska@example.com
Калениченко,Василина,Дмитрівна,Жінка,1967-05-27,Няня,село Андрушівка,"набережна Героїв УПА, буд. 316, Гайсин, 87339",013 972 16 39,ielysei82@example.com
Гриценко,Валентина,Василівна,Жінка,1957-05-11,Електромонтер,село Кам'янець-Подільський,"вулиця Чернігівський, буд. 0 кв. 3, Лубни, 39974",083 758 42 90,udziuba@example.com
Авдєєнко,Віра,Олексіївна,Жінка,1978-04-24,Співак,село Обухів,"шосе Гетьмана Сагайдачного, буд. 877, Горішні Плавні, 25987",+380 27 877-43-67,oleh81@example.org
Петренко,Маруся,Василівна,Жінка,1948-03-22,Медик,село Дубровиця,"провулок Сегедська, буд. 3 кв. 987, Прип'ять, 42106",057 227-64-79,artiushenkokyrylo@example.org
Пилипенко,Варвара,Дмитрівна,Жінка,1944-05-24,Письменник,село Марганець,"проспект Василя Стуса, буд. 8 кв. 82, Сквира, 80208",+380 78 655-62-78,hlibdavydenko@example.org
Вітрук,Златослава,Богданівна,Жінка,2007-09-21,Дантист,селище Чернігів,"площа Трусовська, буд. 6 кв. 6, Борзна, 07668",928-43-36,emiliia78@example.com
Даниленко,Богданна,Степанівна,Жінка,1966-04-05,Ботанік,хутір Новояворівськ,"проспект Дачна, буд. 293 кв. 9, Кривий Ріг, 77972",+380 44 895 81 03,danyloiakymchuk@example.org
Габелко,Златослава,Максимівна,Жінка,1995-02-15,Хореограф,селище Ківерці,"набережна Курортний, буд. 935 кв. 1, Амвросіївка, 86175",083 338 10 60,parmenzhurba@example.net
Пелех,Марта,Іванівна,Жінка,2000-05-25,Географ,хутір Вільнянськ,"проспект Регенсбург, буд. 82 кв. 9, Боково-Хрустальне, 97936",+380 34 126-52-99,vlasenkovadym@example.net
Ткач,Ярослава,Юріївна,Жінка,1943-01-13,Слідчий,хутір Копичинці,"набережна Садова 5-та, буд. 55 кв. 69, Бахчисарай, 82823",035 838-69-84,tykhyimariana@example.org
Вернигора,Софія,Максимівна,Жінка,1977-06-17,Стоматолог,село Бучач,"набережна Любашівський, буд. 86, Канів, 04601",+380 (03) 790-42-72,boleslavhavryliv@example.com
